,deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m,Fantasy Team,points10m,minutes_played,totalPoints
97,4.6269826203801525,16.232365258382828,5.840617406053634,0.0,7149.4824745932765,NOTE,4607,tank,BOS,4402,7910.1226442456245,4.323573923961781,Jyeran,15.265665103784691,131.83537740409375,201.25547202819587
81,4.072712819888025,19.458516806131673,4.52523646654225,7781.066947773187,5176.891371737157,LIBERO,4654,offense,NYE,4403,5303.590249359608,4.751498289869362,Dragonbeard,22.68721672257618,88.39317082266012,200.53950232493878
100,3.4921709021113028,19.456380740334403,6.152872541815153,0.0,6806.406725122474,POKO,4668,tank,PHI,4524,7216.141679883003,3.90790553331503,Bobble,16.534597095289676,120.26902799805005,198.8599920989871
138,5.840355034029444,13.191146714790642,3.6250479521562067,8441.827026865732,4931.2395305239015,ZACHAREEE,8642,offense,DAL,4523,5958.541868984699,4.632005716644042,FreeAgent,19.96863991478496,99.30903114974498,198.30662833154204
65,4.36225938958518,16.358472710944426,4.498579995509717,10077.613468281632,8062.429299952509,IZAYAKI,5872,support,VAL,4405,4401.388887107372,5.180183025132401,FreeAgent,26.319279123706355,73.35648145178953,193.06897108626367
1,5.315328757581803,18.808086372981766,4.225004909872715,9523.846499421632,6792.273274951563,AGILITIES,4142,offense,VAL,4405,4402.361747920513,5.45161923854544,MattyIce,25.720162960864076,73.37269579867522,188.71576928198337
47,7.13010436583171,13.274130468303715,4.475278272170967,0.0,7635.74834131845,FUSIONS,8203,tank,BOS,4402,7910.1226442456245,4.323573923961781,Not Another...,14.272813575470309,131.83537740409375,188.16617643404007
87,2.8382093834222184,20.624321519534785,4.351921054580734,45.25792419839534,7356.67006542346,MICHELLE,8242,tank,SEO,4409,6342.02680927515,2.648995424527403,FreeAgent,17.714088749389248,105.7004468212525,187.23870958417655
7,1.8097618475265562,18.88938928355843,1.8097618475265562,6317.635999401089,4944.005372573534,ANAMO,4841,support,NYE,4403,5304.565356552601,3.6195236950531124,Overdrive,20.706336013753837,88.40942260921001,183.0635211328268
2,5.513408621060219,16.136805720176252,3.496307906038188,9190.590806704146,6726.611445344866,AID,8751,support,TOR,7695,4461.8495908379555,4.034201430044063,FreeAgent,23.985605112137137,74.36415984729926,178.36693725931644
34,6.499998521248652,16.370366646107716,5.175924748401704,6896.70426681834,6224.555807292104,DOGMAN,9251,support,ATL,7698,4984.616518616676,4.212962004513015,FreeAgent,21.3064433971643,83.07694197694461,177.00741618412732
68,3.689105150735652,14.472643283655252,2.1756261145364104,5745.742577238543,3659.9901978381777,JECSE,8179,support,SEO,4409,6343.00163424015,2.9323656326360314,FreeAgent,16.642054416904347,105.71669390400251,175.934297272563
73,4.7013918466308455,11.225772368485895,2.014882219984648,6530.782033722591,4661.907111977519,KELLEX,3981,support,BOS,4402,6253.467262268066,3.3581370333077465,Not Another...,16.805575329943057,104.22445437113444,175.15519191563126
44,5.392597828502215,16.934649321085903,6.433274602423694,0.0,8070.932920261015,FISSURE,4657,tank,SEO,4409,6342.02680927515,4.351921054580734,Not Another...,16.538257580803965,105.7004468212525,174.81012159359454
