,name,role,teamName,matchesPlayed,matchesPlayedTeam,mapsPlayed,mapsPlayedTeam,points,eliminations,damage,healing,player,fantasyTeam
315,YOUNGJIN,offense,Shanghai Dragons,4,4,14,16,414.7056354117393,323,134216.60337424278,118989.03203749657,FreeAgent,FreeAgent
318,YAKPUNG,tank,Toronto Defiant,4,4,17,17,423.01076253986355,372,237010.7625398636,0.0,YAKPUNG,PopeRonPaul
321,YVELTAL,support,Chengdu Hunters,4,4,18,18,358.9842468607426,175,103271.31901025772,168212.92785048485,FreeAgent,FreeAgent
324,ZACHAREEE,offense,Dallas Fuel,4,4,16,16,462.2146105746031,306,145945.08904254436,163269.52153205872,ZACHAREEE,Overdrive
326,AKM,offense,Dallas Fuel,4,4,10,16,377.6718140241802,281,236692.26396009326,479.55006408691406,AKM,Overdrive
328,ALEMAO,support,Boston Uprising,1,4,2,17,53.05539030265808,36,21285.228790283203,13770.161512374878,ALEMAO,Bobble
329,AMENG,tank,Chengdu Hunters,4,4,18,18,423.7605120313168,367,240260.51203131676,0.0,FreeAgent,FreeAgent
332,BLASE,offense,Boston Uprising,4,4,17,17,544.8093978214265,345,160770.7743923664,211538.62342905998,BLASE,Cougum
335,BQB,offense,Florida Mayhem,4,4,18,18,537.8343767494262,406,333442.80412116647,1391.5726282596588,FreeAgent,FreeAgent
338,CARPE,offense,Philadelphia Fusion,5,5,21,21,725.7731043501199,576,437528.9672718346,244.13707828521729,CARPE,Cougum
341,COOLMATT,tank,Houston Outlaws,2,4,7,18,276.9102840036154,212,170889.3290179968,20.95498561859131,COOLMATT,PopeRonPaul
342,DAFRAN,offense,Atlanta Reign,3,3,13,13,501.9460520862341,374,314267.6248357296,678.4272505044937,DAFRAN,Cougum
344,DIEM,offense,Shanghai Dragons,4,4,16,16,475.3821951050461,382,283621.41391298175,760.7811920642853,FreeAgent,FreeAgent
347,EQO,offense,Philadelphia Fusion,5,5,21,21,717.9454561977386,518,225240.31984591484,233705.1363518238,EQO,Bobble
350,IDK,support,Hangzhou Spark,5,5,21,21,491.59450933098793,315,185328.0020469427,148766.50728404522,FreeAgent,FreeAgent
353,IVY,offense,Toronto Defiant,4,4,17,17,710.527359548688,495,462377.09801626205,650.2615324258804,IVY,Not another
356,LATEYOUNG,tank,Chengdu Hunters,4,4,11,18,335.1717944279611,269,197966.76710566878,2705.027322292328,LATEYOUNG,MattyIce
359,MOTH,support,San Francisco Shock,4,4,17,17,491.1847234364152,301,165667.68018078804,175017.04325562716,MOTH,Overdrive
362,NEPTUNO,support,Philadelphia Fusion,5,5,21,21,559.6350410176516,420,220022.5004966259,129612.54052102566,NEPTUNO,MattyIce
365,RCK,tank,Dallas Fuel,4,4,14,16,379.25819982212784,284,235138.23555403948,2119.9642680883408,FreeAgent,FreeAgent
367,ROAR,tank,Los Angeles Gladiators,4,4,17,17,449.63010080718993,354,272630.10080718994,0.0,ROAR,Dragonbeard
370,RYUJEHONG,support,Seoul Dynasty,4,4,16,16,658.7337235845328,357,245847.625487566,234386.09809696674,RYUJEHONG,Dragonbeard
373,SAYAPLAYER,offense,Florida Mayhem,2,4,2,18,31.014841152280567,22,19347.837364047766,667.0037882328033,FreeAgent,FreeAgent
375,SHU,support,Guangzhou Charge,4,4,19,19,647.9994364008903,342,254237.23211205006,222762.2042888403,SHU,Not another
378,SINATRAA,offense,San Francisco Shock,4,4,14,17,659.9335358421803,405,451032.2566304207,6401.279211759567,SINATRAA,Dragonbeard
381,SLEEPY,support,San Francisco Shock,2,4,9,17,393.626710252285,182,166128.05585455894,136498.65439772606,SLEEPY,Jyeran
382,SNILLO,offense,Philadelphia Fusion,1,5,1,21,12.883519466638564,9,4012.785698056221,4370.733768582344,FreeAgent,FreeAgent
383,SUPER,tank,San Francisco Shock,4,4,12,17,369.32623910570146,287,225826.23910570145,0.0,FreeAgent,FreeAgent
386,UNKOE,support,Dallas Fuel,4,4,16,16,573.4149306611419,281,250396.83197909594,182518.09868204594,UNKOE,Jyeran
388,XEPHER,tank,Florida Mayhem,4,4,13,18,360.88237021428347,328,196214.5344337821,667.8357805013657,XEPHER,Overdrive
